nohup: ignoring input
session: 0, experiment: 0
epoch 100,loss 0.0078,train acc 0.792,test acc 0.295
epoch 100,loss 0.0108,train acc 0.507,test acc 0.120
epoch 200,loss 0.0044,train acc 0.513,test acc 0.228
epoch 300,loss 0.0021,train acc 0.703,test acc 0.253
epoch 400,loss 0.0008,train acc 0.938,test acc 0.253
epoch 500,loss 0.0002,train acc 1.000,test acc 0.432
epoch 600,loss 0.0001,train acc 1.000,test acc 0.386
epoch 700,loss 0.0000,train acc 1.000,test acc 0.390
epoch 800,loss 0.0000,train acc 1.000,test acc 0.398
epoch 900,loss 0.0000,train acc 1.000,test acc 0.249
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.249
session: 0, experiment: 7
epoch 100,loss 0.0062,train acc 0.769,test acc 0.618
epoch 200,loss 0.0010,train acc 0.970,test acc 0.834
epoch 300,loss 0.0002,train acc 0.997,test acc 0.834
epoch 400,loss 0.0001,train acc 1.000,test acc 0.834
epoch 500,loss 0.0000,train acc 1.000,test acc 0.950
epoch 600,loss 0.0000,train acc 1.000,test acc 0.921
epoch 700,loss 0.0000,train acc 1.000,test acc 0.950
epoch 800,loss 0.0000,train acc 1.000,test acc 0.834
epoch 900,loss 0.0000,train acc 1.000,test acc 0.834
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.950
session: 0, experiment: 8
epoch 100,loss 0.0067,train acc 0.784,test acc 0.452
epoch 200,loss 0.0008,train acc 1.000,test acc 0.452
epoch 300,loss 0.0001,train acc 1.000,test acc 0.452
epoch 400,loss 0.0000,train acc 1.000,test acc 0.452
epoch 500,loss 0.0000,train acc 1.000,test acc 0.452
epoch 600,loss 0.0000,train acc 1.000,test acc 0.452
epoch 700,loss 0.0000,train acc 1.000,test acc 0.452
epoch 800,loss 0.0000,train acc 1.000,test acc 0.452
epoch 900,loss 0.0000,train acc 1.000,test acc 0.382
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.224
session: 0, experiment: 9
epoch 100,loss 0.0080,train acc 0.623,test acc 0.328
epoch 200,loss 0.0021,train acc 0.843,test acc 0.427
epoch 300,loss 0.0003,train acc 1.000,test acc 0.568
epoch 400,loss 0.0001,train acc 1.000,test acc 0.531
epoch 500,loss 0.0000,train acc 1.000,test acc 0.527
epoch 600,loss 0.0000,train acc 1.000,test acc 0.473
epoch 700,loss 0.0000,train acc 1.000,test acc 0.506
epoch 800,loss 0.0000,train acc 1.000,test acc 0.515
epoch 900,loss 0.0000,train acc 1.000,test acc 0.494
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.498
session: 0, experiment: 10
epoch 100,loss 0.0087,train acc 0.693,test acc 0.253
epoch 200,loss 0.0020,train acc 0.877,test acc 0.253
epoch 300,loss 0.0012,train acc 0.885,test acc 0.253
epoch 400,loss 0.0003,train acc 1.000,test acc 0.253
epoch 500,loss 0.0001,train acc 1.000,test acc 0.253
epoch 600,loss 0.0001,train acc 0.997,test acc 0.253
epoch 700,loss 0.0000,train acc 1.000,test acc 0.253
epoch 800,loss 0.0000,train acc 1.000,test acc 0.253
epoch 900,loss 0.0000,train acc 1.000,test acc 0.253
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.253
session: 0, experiment: 11
epoch 100,loss 0.0099,train acc 0.561,test acc 0.178
epoch 200,loss 0.0012,train acc 0.943,test acc 0.432
epoch 300,loss 0.0002,train acc 1.000,test acc 0.477
epoch 400,loss 0.0002,train acc 0.987,test acc 0.361
epoch 500,loss 0.0000,train acc 1.000,test acc 0.432
epoch 600,loss 0.0000,train acc 1.000,test acc 0.544
epoch 700,loss 0.0000,train acc 1.000,test acc 0.432
epoch 800,loss 0.0000,train acc 1.000,test acc 0.432
epoch 900,loss 0.0000,train acc 1.000,test acc 0.432
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.432
session: 0, experiment: 12
epoch 100,loss 0.0089,train acc 0.761,test acc 0.299
epoch 200,loss 0.0020,train acc 0.833,test acc 0.178
epoch 300,loss 0.0007,train acc 0.900,test acc 0.162
epoch 400,loss 0.0003,train acc 0.972,test acc 0.295
epoch 500,loss 0.0002,train acc 0.980,test acc 0.307
epoch 600,loss 0.0001,train acc 0.980,test acc 0.257
epoch 700,loss 0.0000,train acc 1.000,test acc 0.444
epoch 800,loss 0.0000,train acc 1.000,test acc 0.510
epoch 900,loss 0.0000,train acc 1.000,test acc 0.560
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.510
session: 0, experiment: 13
epoch 100,loss 0.0112,train acc 0.518,test acc 0.295
epoch 200,loss 0.0031,train acc 0.825,test acc 0.481
epoch 300,loss 0.0012,train acc 0.897,test acc 0.415
epoch 400,loss 0.0004,train acc 0.990,test acc 0.593
epoch 500,loss 0.0001,train acc 1.000,test acc 0.593
epoch 600,loss 0.0001,train acc 1.000,test acc 0.593
epoch 700,loss 0.0000,train acc 1.000,test acc 0.593
epoch 800,loss 0.0000,train acc 1.000,test acc 0.593
epoch 900,loss 0.0000,train acc 1.000,test acc 0.593
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.593
session: 0, experiment: 14
epoch 100,loss 0.0094,train acc 0.564,test acc 0.378
epoch 200,loss 0.0017,train acc 0.805,test acc 0.622
epoch 300,loss 0.0004,train acc 0.939,test acc 0.622
epoch 400,loss 0.0001,train acc 1.000,test acc 0.552
epoch 500,loss 0.0001,train acc 1.000,test acc 0.552
epoch 600,loss 0.0002,train acc 0.887,test acc 0.552
epoch 700,loss 0.0000,train acc 1.000,test acc 0.552
epoch 800,loss 0.0000,train acc 1.000,test acc 0.622
epoch 900,loss 0.0000,train acc 1.000,test acc 0.552
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.552
session: 1, experiment: 0
epoch 100,loss 0.0084,train acc 0.618,test acc 0.467
epoch 200,loss 0.0024,train acc 0.848,test acc 0.533
epoch 300,loss 0.0011,train acc 0.952,test acc 0.686
epoch 400,loss 0.0004,train acc 0.975,test acc 0.664
epoch 500,loss 0.0002,train acc 0.991,test acc 0.504
epoch 600,loss 0.0000,train acc 1.000,test acc 0.664
epoch 700,loss 0.0000,train acc 1.000,test acc 0.664
epoch 800,loss 0.0000,train acc 1.000,test acc 0.504
epoch 900,loss 0.0000,train acc 1.000,test acc 0.664
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.664
session: 1, experiment: 1
epoch 100,loss 0.0122,train acc 0.444,test acc 0.347
epoch 200,loss 0.0036,train acc 0.875,test acc 0.602
epoch 300,loss 0.0016,train acc 0.754,test acc 0.715
epoch 400,loss 0.0011,train acc 0.876,test acc 0.697
epoch 500,loss 0.0007,train acc 0.835,test acc 0.715
epoch 600,loss 0.0005,train acc 0.839,test acc 0.715
epoch 700,loss 0.0004,train acc 0.896,test acc 0.715
epoch 800,loss 0.0003,train acc 0.884,test acc 0.715
epoch 900,loss 0.0002,train acc 0.975,test acc 0.715
epoch 1000,loss 0.0001,train acc 0.978,test acc 0.715
session: 1, experiment: 2
epoch 100,loss 0.0115,train acc 0.575,test acc 0.088
epoch 200,loss 0.0041,train acc 0.726,test acc 0.255
epoch 300,loss 0.0010,train acc 0.900,test acc 0.241
epoch 400,loss 0.0004,train acc 0.955,test acc 0.201
epoch 500,loss 0.0002,train acc 0.998,test acc 0.036
epoch 600,loss 0.0001,train acc 1.000,test acc 0.179
epoch 700,loss 0.0000,train acc 1.000,test acc 0.036
epoch 800,loss 0.0000,train acc 1.000,test acc 0.062
epoch 900,loss 0.0000,train acc 1.000,test acc 0.036
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.036
session: 1, experiment: 3
epoch 100,loss 0.0069,train acc 0.873,test acc 0.255
epoch 200,loss 0.0010,train acc 0.955,test acc 0.325
epoch 300,loss 0.0003,train acc 0.955,test acc 0.325
epoch 400,loss 0.0002,train acc 1.000,test acc 0.325
epoch 500,loss 0.0000,train acc 1.000,test acc 0.255
epoch 600,loss 0.0000,train acc 1.000,test acc 0.325
epoch 700,loss 0.0000,train acc 1.000,test acc 0.325
epoch 800,loss 0.0000,train acc 1.000,test acc 0.325
epoch 900,loss 0.0000,train acc 1.000,test acc 0.325
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.325
session: 1, experiment: 4
epoch 100,loss 0.0084,train acc 0.720,test acc 0.332
epoch 200,loss 0.0025,train acc 0.900,test acc 0.507
epoch 300,loss 0.0009,train acc 0.918,test acc 0.577
epoch 400,loss 0.0004,train acc 0.918,test acc 0.577
epoch 500,loss 0.0003,train acc 0.937,test acc 0.577
epoch 600,loss 0.0001,train acc 0.984,test acc 0.577
epoch 700,loss 0.0001,train acc 1.000,test acc 0.577
epoch 800,loss 0.0000,train acc 1.000,test acc 0.577
epoch 900,loss 0.0001,train acc 0.973,test acc 0.577
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.577
session: 1, experiment: 5
epoch 100,loss 0.0049,train acc 0.751,test acc 0.712
epoch 200,loss 0.0006,train acc 0.996,test acc 0.748
epoch 300,loss 0.0002,train acc 1.000,test acc 0.748
epoch 400,loss 0.0000,train acc 1.000,test acc 0.748
epoch 500,loss 0.0000,train acc 1.000,test acc 0.748
epoch 600,loss 0.0001,train acc 1.000,test acc 0.748
epoch 700,loss 0.0000,train acc 1.000,test acc 0.748
epoch 800,loss 0.0000,train acc 1.000,test acc 0.748
epoch 900,loss 0.0006,train acc 0.912,test acc 0.748
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.748
session: 1, experiment: 6
epoch 100,loss 0.0126,train acc 0.401,test acc 0.168
epoch 200,loss 0.0021,train acc 0.925,test acc 0.774
epoch 300,loss 0.0005,train acc 0.978,test acc 0.693
epoch 400,loss 0.0001,train acc 1.000,test acc 0.777
epoch 500,loss 0.0000,train acc 1.000,test acc 0.777
epoch 600,loss 0.0000,train acc 1.000,test acc 0.777
epoch 700,loss 0.0000,train acc 1.000,test acc 0.777
epoch 800,loss 0.0000,train acc 1.000,test acc 0.777
epoch 900,loss 0.0000,train acc 1.000,test acc 0.777
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.777
session: 1, experiment: 7
epoch 100,loss 0.0099,train acc 0.668,test acc 0.339
epoch 200,loss 0.0013,train acc 0.971,test acc 0.726
epoch 300,loss 0.0003,train acc 0.978,test acc 0.664
epoch 400,loss 0.0002,train acc 1.000,test acc 0.664
epoch 500,loss 0.0001,train acc 0.991,test acc 0.664
epoch 600,loss 0.0000,train acc 1.000,test acc 0.664
epoch 700,loss 0.0000,train acc 1.000,test acc 0.664
epoch 800,loss 0.0000,train acc 1.000,test acc 0.664
epoch 900,loss 0.0000,train acc 1.000,test acc 0.664
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.664
session: 1, experiment: 8
epoch 100,loss 0.0103,train acc 0.539,test acc 0.467
epoch 200,loss 0.0044,train acc 0.525,test acc 0.303
epoch 300,loss 0.0019,train acc 0.873,test acc 0.474
epoch 400,loss 0.0010,train acc 0.875,test acc 0.551
epoch 500,loss 0.0007,train acc 0.925,test acc 0.464
epoch 600,loss 0.0003,train acc 0.935,test acc 0.277
epoch 700,loss 0.0006,train acc 0.839,test acc 0.464
epoch 800,loss 0.0001,train acc 1.000,test acc 0.223
epoch 900,loss 0.0001,train acc 1.000,test acc 0.255
epoch 1000,loss 0.0001,train acc 1.000,test acc 0.270
session: 1, experiment: 9
epoch 100,loss 0.0088,train acc 0.609,test acc 0.438
epoch 200,loss 0.0034,train acc 0.659,test acc 0.507
epoch 300,loss 0.0010,train acc 0.932,test acc 0.500
epoch 400,loss 0.0004,train acc 0.991,test acc 0.255
epoch 500,loss 0.0001,train acc 1.000,test acc 0.255
epoch 600,loss 0.0001,train acc 1.000,test acc 0.255
epoch 700,loss 0.0000,train acc 1.000,test acc 0.255
epoch 800,loss 0.0000,train acc 1.000,test acc 0.263
epoch 900,loss 0.0000,train acc 1.000,test acc 0.255
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.259
session: 1, experiment: 10
epoch 100,loss 0.0129,train acc 0.401,test acc 0.168
epoch 200,loss 0.0036,train acc 0.668,test acc 0.507
epoch 300,loss 0.0019,train acc 0.737,test acc 0.478
epoch 400,loss 0.0008,train acc 0.934,test acc 0.438
epoch 500,loss 0.0003,train acc 0.946,test acc 0.599
epoch 600,loss 0.0001,train acc 1.000,test acc 0.533
epoch 700,loss 0.0000,train acc 1.000,test acc 0.533
epoch 800,loss 0.0000,train acc 1.000,test acc 0.467
epoch 900,loss 0.0000,train acc 1.000,test acc 0.471
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.533
session: 1, experiment: 11
epoch 100,loss 0.0118,train acc 0.495,test acc 0.212
epoch 200,loss 0.0018,train acc 0.907,test acc 0.456
epoch 300,loss 0.0002,train acc 1.000,test acc 0.420
epoch 400,loss 0.0000,train acc 1.000,test acc 0.420
epoch 500,loss 0.0000,train acc 1.000,test acc 0.478
epoch 600,loss 0.0000,train acc 1.000,test acc 0.456
epoch 700,loss 0.0000,train acc 1.000,test acc 0.478
epoch 800,loss 0.0000,train acc 1.000,test acc 0.456
epoch 900,loss 0.0000,train acc 1.000,test acc 0.482
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.478
session: 1, experiment: 12
epoch 100,loss 0.0128,train acc 0.401,test acc 0.168
epoch 200,loss 0.0023,train acc 0.794,test acc 0.708
epoch 300,loss 0.0002,train acc 1.000,test acc 0.719
epoch 400,loss 0.0000,train acc 1.000,test acc 0.675
epoch 500,loss 0.0000,train acc 1.000,test acc 0.624
epoch 600,loss 0.0000,train acc 1.000,test acc 0.657
epoch 700,loss 0.0000,train acc 1.000,test acc 0.693
epoch 800,loss 0.0000,train acc 1.000,test acc 0.682
epoch 900,loss 0.0000,train acc 1.000,test acc 0.624
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.668
session: 1, experiment: 13
epoch 100,loss 0.0122,train acc 0.401,test acc 0.168
epoch 200,loss 0.0038,train acc 0.616,test acc 0.708
epoch 300,loss 0.0024,train acc 0.577,test acc 0.536
epoch 400,loss 0.0011,train acc 0.873,test acc 0.723
epoch 500,loss 0.0004,train acc 0.955,test acc 0.843
epoch 600,loss 0.0002,train acc 0.998,test acc 0.708
epoch 700,loss 0.0001,train acc 0.955,test acc 0.843
epoch 800,loss 0.0001,train acc 0.964,test acc 0.723
epoch 900,loss 0.0000,train acc 1.000,test acc 0.843
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.755
session: 1, experiment: 14
epoch 100,loss 0.0067,train acc 0.713,test acc 0.172
epoch 200,loss 0.0025,train acc 0.706,test acc 0.124
epoch 300,loss 0.0019,train acc 0.823,test acc 0.259
epoch 400,loss 0.0005,train acc 0.993,test acc 0.420
epoch 500,loss 0.0001,train acc 1.000,test acc 0.599
epoch 600,loss 0.0001,train acc 1.000,test acc 0.599
epoch 700,loss 0.0000,train acc 1.000,test acc 0.599
epoch 800,loss 0.0000,train acc 1.000,test acc 0.599
epoch 900,loss 0.0000,train acc 0.998,test acc 0.464
epoch 1000,loss 0.0000,train acc 0.989,test acc 0.599
session: 2, experiment: 0
epoch 100,loss 0.0101,train acc 0.561,test acc 0.247
epoch 200,loss 0.0036,train acc 0.654,test acc 0.227
epoch 300,loss 0.0007,train acc 0.959,test acc 0.533
epoch 400,loss 0.0002,train acc 1.000,test acc 0.533
epoch 500,loss 0.0001,train acc 1.000,test acc 0.533
epoch 600,loss 0.0000,train acc 1.000,test acc 0.514
epoch 700,loss 0.0000,train acc 1.000,test acc 0.514
epoch 800,loss 0.0000,train acc 1.000,test acc 0.478
epoch 900,loss 0.0000,train acc 1.000,test acc 0.502
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.478
session: 2, experiment: 1
epoch 100,loss 0.0115,train acc 0.489,test acc 0.227
epoch 200,loss 0.0044,train acc 0.536,test acc 0.227
epoch 300,loss 0.0021,train acc 0.720,test acc 0.482
epoch 400,loss 0.0009,train acc 0.924,test acc 0.490
epoch 500,loss 0.0004,train acc 0.959,test acc 0.631
epoch 600,loss 0.0002,train acc 0.959,test acc 0.631
epoch 700,loss 0.0001,train acc 1.000,test acc 0.631
epoch 800,loss 0.0000,train acc 1.000,test acc 0.631
epoch 900,loss 0.0000,train acc 1.000,test acc 0.573
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.631
session: 2, experiment: 2
epoch 100,loss 0.0110,train acc 0.467,test acc 0.106
epoch 200,loss 0.0029,train acc 0.753,test acc 0.220
epoch 300,loss 0.0003,train acc 1.000,test acc 0.094
epoch 400,loss 0.0002,train acc 0.977,test acc 0.067
epoch 500,loss 0.0000,train acc 1.000,test acc 0.075
epoch 600,loss 0.0000,train acc 1.000,test acc 0.035
epoch 700,loss 0.0000,train acc 1.000,test acc 0.008
epoch 800,loss 0.0000,train acc 1.000,test acc 0.000
epoch 900,loss 0.0000,train acc 1.000,test acc 0.035
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.063
session: 2, experiment: 3
epoch 100,loss 0.0095,train acc 0.623,test acc 0.161
epoch 200,loss 0.0035,train acc 0.656,test acc 0.227
epoch 300,loss 0.0023,train acc 0.656,test acc 0.227
epoch 400,loss 0.0015,train acc 0.765,test acc 0.529
epoch 500,loss 0.0009,train acc 0.737,test acc 0.529
epoch 600,loss 0.0005,train acc 0.966,test acc 0.682
epoch 700,loss 0.0002,train acc 1.000,test acc 0.682
epoch 800,loss 0.0001,train acc 1.000,test acc 0.682
epoch 900,loss 0.0000,train acc 1.000,test acc 0.682
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.682
session: 2, experiment: 4
epoch 100,loss 0.0109,train acc 0.492,test acc 0.161
epoch 200,loss 0.0013,train acc 0.914,test acc 0.576
epoch 300,loss 0.0002,train acc 1.000,test acc 0.576
epoch 400,loss 0.0002,train acc 0.952,test acc 0.576
epoch 500,loss 0.0000,train acc 1.000,test acc 0.576
epoch 600,loss 0.0000,train acc 1.000,test acc 0.576
epoch 700,loss 0.0000,train acc 1.000,test acc 0.576
epoch 800,loss 0.0000,train acc 1.000,test acc 0.576
epoch 900,loss 0.0000,train acc 1.000,test acc 0.576
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.576
session: 2, experiment: 5
epoch 100,loss 0.0047,train acc 0.903,test acc 0.329
epoch 200,loss 0.0004,train acc 1.000,test acc 0.604
epoch 300,loss 0.0001,train acc 1.000,test acc 0.604
epoch 400,loss 0.0000,train acc 1.000,test acc 0.604
epoch 500,loss 0.0000,train acc 1.000,test acc 0.604
epoch 600,loss 0.0000,train acc 1.000,test acc 0.604
epoch 700,loss 0.0000,train acc 1.000,test acc 0.604
epoch 800,loss 0.0000,train acc 1.000,test acc 0.604
epoch 900,loss 0.0000,train acc 1.000,test acc 0.604
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.604
session: 2, experiment: 6
epoch 100,loss 0.0122,train acc 0.402,test acc 0.408
epoch 200,loss 0.0035,train acc 0.693,test acc 0.635
epoch 300,loss 0.0006,train acc 1.000,test acc 0.565
epoch 400,loss 0.0001,train acc 1.000,test acc 0.510
epoch 500,loss 0.0000,train acc 1.000,test acc 0.510
epoch 600,loss 0.0000,train acc 1.000,test acc 0.510
epoch 700,loss 0.0000,train acc 1.000,test acc 0.510
epoch 800,loss 0.0000,train acc 1.000,test acc 0.510
epoch 900,loss 0.0000,train acc 1.000,test acc 0.510
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.510
session: 2, experiment: 7
epoch 100,loss 0.0043,train acc 0.892,test acc 0.275
epoch 200,loss 0.0003,train acc 1.000,test acc 0.435
epoch 300,loss 0.0000,train acc 1.000,test acc 0.435
epoch 400,loss 0.0000,train acc 1.000,test acc 0.435
epoch 500,loss 0.0000,train acc 1.000,test acc 0.435
epoch 600,loss 0.0000,train acc 1.000,test acc 0.435
epoch 700,loss 0.0000,train acc 1.000,test acc 0.435
epoch 800,loss 0.0000,train acc 1.000,test acc 0.435
epoch 900,loss 0.0000,train acc 1.000,test acc 0.435
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.435
session: 2, experiment: 8
epoch 100,loss 0.0091,train acc 0.616,test acc 0.227
epoch 200,loss 0.0024,train acc 0.831,test acc 0.557
epoch 300,loss 0.0009,train acc 0.834,test acc 0.557
epoch 400,loss 0.0004,train acc 0.965,test acc 0.396
epoch 500,loss 0.0002,train acc 0.966,test acc 0.416
epoch 600,loss 0.0001,train acc 1.000,test acc 0.325
epoch 700,loss 0.0000,train acc 1.000,test acc 0.306
epoch 800,loss 0.0000,train acc 1.000,test acc 0.267
epoch 900,loss 0.0000,train acc 1.000,test acc 0.255
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.227
session: 2, experiment: 9
epoch 100,loss 0.0075,train acc 0.624,test acc 0.620
epoch 200,loss 0.0007,train acc 0.984,test acc 0.694
epoch 300,loss 0.0001,train acc 1.000,test acc 0.761
epoch 400,loss 0.0000,train acc 1.000,test acc 0.690
epoch 500,loss 0.0000,train acc 1.000,test acc 0.776
epoch 600,loss 0.0000,train acc 1.000,test acc 0.737
epoch 700,loss 0.0000,train acc 1.000,test acc 0.663
epoch 800,loss 0.0000,train acc 1.000,test acc 0.800
epoch 900,loss 0.0000,train acc 1.000,test acc 0.675
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.792
session: 2, experiment: 10
epoch 100,loss 0.0126,train acc 0.400,test acc 0.067
epoch 200,loss 0.0033,train acc 0.746,test acc 0.404
epoch 300,loss 0.0008,train acc 0.970,test acc 0.655
epoch 400,loss 0.0002,train acc 1.000,test acc 0.686
epoch 500,loss 0.0000,train acc 1.000,test acc 0.553
epoch 600,loss 0.0000,train acc 1.000,test acc 0.682
epoch 700,loss 0.0000,train acc 1.000,test acc 0.631
epoch 800,loss 0.0000,train acc 1.000,test acc 0.706
epoch 900,loss 0.0000,train acc 1.000,test acc 0.706
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.706
session: 2, experiment: 11
epoch 100,loss 0.0057,train acc 0.776,test acc 0.227
epoch 200,loss 0.0014,train acc 0.922,test acc 0.282
epoch 300,loss 0.0003,train acc 1.000,test acc 0.271
epoch 400,loss 0.0002,train acc 1.000,test acc 0.278
epoch 500,loss 0.0002,train acc 0.984,test acc 0.243
epoch 600,loss 0.0001,train acc 1.000,test acc 0.216
epoch 700,loss 0.0007,train acc 0.808,test acc 0.216
epoch 800,loss 0.0002,train acc 0.979,test acc 0.302
epoch 900,loss 0.0000,train acc 1.000,test acc 0.302
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.302
session: 2, experiment: 12
epoch 100,loss 0.0060,train acc 0.841,test acc 0.514
epoch 200,loss 0.0016,train acc 0.875,test acc 0.514
epoch 300,loss 0.0004,train acc 0.924,test acc 0.349
epoch 400,loss 0.0001,train acc 1.000,test acc 0.294
epoch 500,loss 0.0000,train acc 1.000,test acc 0.239
epoch 600,loss 0.0001,train acc 0.998,test acc 0.239
epoch 700,loss 0.0000,train acc 1.000,test acc 0.153
epoch 800,loss 0.0001,train acc 0.996,test acc 0.239
epoch 900,loss 0.0000,train acc 1.000,test acc 0.239
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.239
session: 2, experiment: 13
epoch 100,loss 0.0073,train acc 0.653,test acc 0.286
epoch 200,loss 0.0020,train acc 0.884,test acc 0.792
epoch 300,loss 0.0009,train acc 0.857,test acc 0.847
epoch 400,loss 0.0002,train acc 1.000,test acc 0.792
epoch 500,loss 0.0000,train acc 1.000,test acc 0.792
epoch 600,loss 0.0000,train acc 1.000,test acc 0.792
epoch 700,loss 0.0000,train acc 1.000,test acc 0.847
epoch 800,loss 0.0000,train acc 1.000,test acc 0.820
epoch 900,loss 0.0000,train acc 1.000,test acc 0.812
epoch 1000,loss 0.0000,train acc 1.000,test acc 0.847
session: 2, experiment: 14
epoch 100,loss 0.0073,train acc 0.711,test acc 0.161
epoch 200,loss 0.0016,train acc 0.917,test acc 0.078
epoch 300,loss 0.0002,train acc 1.000,test acc 0.059
epoch 400,loss 0.0000,train acc 1.000,test acc 0.063
epoch 500,loss 0.0000,train acc 1.000,test acc 0.075
